study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSCOD_1881,DC1881,,BLU,BLU
PSCOD_1884,DC1884,,BLU,BLU
PSCOD_1886,DC1886,,BLU,BLU
PSCYM_2024,DC2024,,BLU,BLU
PSCYD_2036,DC2036,,BLU,BLU
PSCYD_2046,DC2046,,BLU,BLU
PSCYD_2050,DC2050,,BLU,BLU
PSCYD_2051,DC2051,,BLU,BLU
PSCYD_2052,DC2052,,BLU,BLU
PSCYD_2053,DC2053,,BLU,BLU
PSCYD_2055,DC2055,,BLU,BLU
PSCYD_2056,DC2056,,BLU,BLU
PSCYD_2058,DC2058,,BLU,BLU
PSCYD_2059,DC2059,,BLU,BLU
PSCYD_2081,DC2081,,BLU,BLU
PSCYD_2082,DC2082,,BLU,BLU
PSCYD_2084,DC2084,,BLU,BLU
PSCYD_2087,DC2087,,BLU,BLU
PSCYD_2097,DC2097,,BLU,BLU
PSCYD_2098,DC2098,,BLU,BLU
PSCYD_2102,DC2102,,BLU,BLU
PSCYD_2104,DC2104,,BLU,BLU
PSCYS_2126,DC2126,,BLU,BLU
PSCYM_2179,DC2179,,BLU,BLU
PSCYS_2369,DC2369,,BLU,BLU
PSCYS_2371,DC2371,,BLU,BLU
PSCYS_2380,DC2380,,BLU,BLU
PSCYS_2381,DC2381,,BLU,BLU
PSCYS_2383,DC2383,,BLU,BLU
PSCYS_2386,DC2386,,BLU,BLU
PSGGD_2486,DC2486,,BLU,BLU
PSGGS_2651,DC2651,,BLU,BLU
PSGTD_2736,DC2736,,BLU,BLU
PSGTD_2741,DC2741,,BLU,BLU
PSGTD_2743,DC2743,,BLU,BLU
PSGTD_2747,DC2747,,BLU,BLU
PSGTS_2832,DC2832,,BLU,BLU
PSGTS_2922,DC2922,,BLU,BLU
PSGTD_2929,DC2929,,BLU,BLU
PSGTD_2931,DC2931,,BLU,BLU
PSGTD_2933,DC2933,,BLU,BLU
PSGTD_2937,DC2937,,BLU,BLU
PSGTD_2958,DC2958,,BLU,BLU
PSGTD_2959,DC2959,,BLU,BLU
PSGTS_2973,DC2973,,BLU,BLU
PSGTS_2974,DC2974,,BLU,BLU
PSGTS_2981,DC2981,,BLU,BLU
PSGTX_3011,DC3011,,BLU,BLU
PSGTS_3023,DC3023,,BLU,BLU
PSCOM_7456,DC7456,,BLU,BLU
PSCVX_7502,DC7502,,BLU,BLU
PSGAD_7609,DC7609,,BLU,BLU
PSGAD_7618,DC7618,,BLU,BLU
PSGAD_7620,DC7620,,BLU,BLU
PSGAD_7622,DC7622,,BLU,BLU
PSGAD_7629,DC7629,,BLU,BLU
PSGAD_7632,DC7632,,BLU,BLU
PSGAB_7654,DC7654,,BLU,BLU
PSGAB_7665,DC7665,,BLU,BLU
PSGAB_7667,DC7667,,BLU,BLU
PSGYD_7808,DC7808,,BLU,BLU
PSGYD_7809,DC7809,,BLU,BLU
PSGYD_7810,DC7810,,BLU,BLU
PSGYD_7814,DC7814,,BLU,BLU
PSGYD_7816,DC7816,,BLU,BLU
PSGYD_7818,DC7818,,BLU,BLU
PSGYD_7822,DC7822,,BLU,BLU
PSGYD_7828,DC7828,,BLU,BLU
PSGYD_7844,DC7844,,BLU,BLU
PSGYD_7845,DC7845,,BLU,BLU
PSGYD_7847,DC7847,,BLU,BLU
PSGYD_7850,DC7850,,BLU,BLU
PSGYD_7852,DC7852,,BLU,BLU
PSGYS_7867,DC7867,,BLU,BLU
PSGYS_7869,DC7869,,BLU,BLU
PSGYS_7870,DC7870,,BLU,BLU
PSGYS_7871,DC7871,,BLU,BLU
PSGYS_7873,DC7873,,BLU,BLU
PSGYS_7874,DC7874,,BLU,BLU
PSGYS_7877,DC7877,,BLU,BLU
PSGYS_7881,DC7881,,BLU,BLU
PSGYS_7882,DC7882,,BLU,BLU
PSGYS_7884,DC7884,,BLU,BLU
PSGYS_7887,DC7887,,BLU,BLU
PSGYS_7892,DC7892,,BLU,BLU
PSGTS_7896,DC7896,,BLU,BLU
PSGTS_7917,DC7917,,BLU,BLU
PSGTS_7921,DC7921,,BLU,BLU
PSGTS_7924,DC7924,,BLU,BLU
PSGTS_7926,DC7926,,BLU,BLU
PSGTD_7941,DC7941,,BLU,BLU
PSGSD_8005,DC8005,,BLU,BLU
PSGSD_8009,DC8009,,BLU,BLU
PSGSD_8011,DC8011,,BLU,BLU
PSGSD_8012,DC8012,,BLU,BLU
PSGSD_8015,DC8015,,BLU,BLU
PSGSD_8019,DC8019,,BLU,BLU
PSGSD_8022,DC8022,,BLU,BLU
PSGSD_8023,DC8023,,BLU,BLU
PSGSD_8026,DC8026,,BLU,BLU
PSGSD_8029,DC8029,,BLU,BLU
PSGSS_8031,DC8031,,BLU,BLU
PSGDS_8066,DC8066,,BLU,BLU
PSGDS_8067,DC8067,,BLU,BLU
PSGDS_8070,DC8070,,BLU,BLU
PSGDS_8071,DC8071,,BLU,BLU
PSGDS_8073,DC8073,,BLU,BLU
PSGDS_8074,DC8074,,BLU,BLU
PSGDD_8075,DC8075,,BLU,BLU
PSGDS_8098,DC8098,,BLU,BLU
PSGDS_8099,DC8099,,BLU,BLU
PSGDS_8105,DC8105,,BLU,BLU
PSGDB_8145,DC8145,,BLU,BLU
PSGRD_8174,DC8174,,BLU,BLU
PSGRD_8184,DC8184,,BLU,BLU
PSGRD_8185,DC8185,,BLU,BLU
PSGRD_8186,DC8186,,BLU,BLU
PSGRD_8200,DC8200,,BLU,BLU
PSGRD_8207,DC8207,,BLU,BLU
PSGRD_8208,DC8208,,BLU,BLU
PSGRD_8210,DC8210,,BLU,BLU
PSGRD_8211,DC8211,,BLU,BLU
PSGRD_8212,DC8212,,BLU,BLU
PSGRD_8213,DC8213,,BLU,BLU
PSGRD_8215,DC8215,,BLU,BLU
PSGRD_8216,DC8216,,BLU,BLU
