original_code,study_code,depth,lineage,chlorophyll_c2_ugcm2,peridin_ugcm2,fucoxanthin_Âµgcm2,chlorophyll_a_µgcm2,chlorophyll_a_pgcell,tot_xanthophyll_pool,protein,zooxs_cm2,lipids
DC2067,PSCYS_2067,10m,GRN,1.916157892,5.779752779,0.353453872,4.891426234,5.781146026,0.150019184,0.813131386,846099.7547,0.119767696
DC2125,PSCYS_2125,10m,GRN,2.011729484,6.000886143,0.369254258,5.00813699,6.560352423,0.160354553,0.977136123,763394.5048,0.545108559
DC2126,PSCYS_2126,10m,BLU,2.777031986,8.128039998,0.340360466,6.588682434,5.487785235,0.170237746,1.697849847,1200608.652,0.81688133
DC2127,PSCYS_2127,10m,RED,2.727841447,8.702780543,0.342289964,6.738688132,4.452307692,0.142881824,1.555684142,1513527.051,0.561299903
DC2128,PSCYS_2128,10m,GRN,2.150067945,8.123061576,0.318140135,5.26504443,7.96123348,0.179614874,0.77063195,661335.2621,0.374792238
DC2176,PSCYM_2176,20m,RED,2.677252715,8.563159912,0.392225114,6.698192756,7.527014218,0.134114091,1.25402525,889887.087,0.754616858
DC2177,PSCYM_2177,20m,GRN,1.256612444,4.049084541,0.197115677,3.35917967,5.860298507,0.153422983,0.786186732,573209.6524,0.586476068
DC2178,PSCYM_2178,20m,GRN,1.322825072,4.887150908,0.23773493,3.257817588,3.955670103,0.175918686,1.047692896,823581.7201,0.559475173
DC2179,PSCYM_2179,20m,BLU,1.828997706,5.150411707,0.329420104,4.590397531,3.748538012,0.139781591,3.141588172,1224583.429,0.200926068
DC2180,PSCYM_2180,20m,GRN,1.555520959,6.094582116,0.285872273,4.564561501,4.416883117,0.149955895,1.043500902,1033434.977,0.586785004
DC2181,PSCYM_2181,20m,RED,1.491823712,4.021956728,0.331781594,3.805940654,3.85766129,0.123549702,1.95597306,986592.7482,0.539886198
DC2182,PSCYM_2182,20m,GRN,1.240948447,3.821274907,0.26309211,3.172743657,5.245627376,0.15366773,1.2485578,604835.8813,0.744452113
